"","NQUEST","NORD","ANNO","IREG","IPROV","ACOM5","PAR","SESSO","ETA","ETA5","STUDIO","SETTP3","QUALP7","QUALP3","NONOC","AREA5","AREA3","SETTP7","CFDIC","CFEUR","QUALP7N","ACOM4C","SETTP9","STACIV","NORDP","NINTPRE","NASCREG","NASCAREA","ANASC","QUALP10","SETTP11","CFRED","NEQU","PERC","PERL","NPERC","NPERL","NCOMP","ENASC2","etapen","asnonoc","QUALP10N","ASNONOC2","ANASCI","NORDC","ID","localIndex","source","X1","X2","X3"
"111645",111052,2,2016,20,NA,3,2,1,81,5,2,3,NA,3,4,5,3,7,0,0,7,3,9,1,2,10,20,3,1935,10,11,1,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1935,1,"111052_1",581,"A",-1.75811427842639,-3.77063967524278,-0.00112992632599418
"111644",111052,1,2016,20,NA,3,1,2,75,5,2,3,NA,3,4,5,3,7,1,1,7,3,9,1,1,10,20,3,1941,10,11,0,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1941,2,"111052_2",580,"A",-0.903501791702737,0.0303386408109812,-0.666369944501306
"6679",11972,2,2016,17,NA,4,2,1,78,5,2,3,NA,3,4,4,3,7,0,0,7,3,9,1,2,14,16,3,1938,10,11,0,1.5,1,0,2,0,2,NA,NA,9,NA,NA,1938,1,"11972_1",22,"A",-0.964119499031992,1.29925568127923,-0.663824562024918
"6678",11972,1,2016,17,NA,4,1,2,68,5,2,3,NA,3,4,4,3,7,1,1,7,3,9,1,1,14,16,3,1948,10,11,1,1.5,1,0,2,0,2,NA,NA,8,NA,NA,1948,2,"11972_2",21,"A",0.0362518446577915,3.67489413919724,0.333333333297533
"1321",1367,1,2016,18,NA,4,1,1,89,5,3,3,NA,3,4,4,3,7,1,1,7,3,9,1,1,14,18,3,1927,10,11,1,1.5,1,0,2,0,2,NA,NA,7,NA,NA,1927,1,"1367_1",5,"A",0.912840717869499,-4.02218586586451,0.324795966309333
"1322",1367,2,2016,18,NA,4,2,2,86,5,1,3,NA,3,4,4,3,7,0,0,7,3,9,1,2,14,18,3,1930,10,11,0,1.5,1,0,2,0,2,NA,NA,8,NA,NA,1930,2,"1367_2",6,"A",-0.106203130859254,2.35601205555547,-0.649733934168975
"113018",138399,1,2016,8,NA,5,1,1,73,5,3,3,NA,3,4,2,1,7,1,1,7,3,9,4,1,10,8,1,1943,10,11,1,1,1,0,1,0,1,NA,NA,1,NA,NA,1943,1,"138399_1",582,"A",0.312333790255108,-0.193774551565494,-0.383632902136111
"113428",145007,1,2016,20,NA,4,1,1,62,4,5,2,NA,1,0,5,3,6,1,1,2,3,8,1,1,10,20,3,1954,2,9,1,2.5,1,1,2,2,4,NA,70,NA,NA,NA,1954,1,"145007_1",583,"A",-0.669532884980618,2.25959430532545,-0.63099037777531
"113429",145007,2,2016,20,NA,4,2,2,60,4,5,3,NA,3,2,5,3,7,0,0,7,3,9,1,2,10,20,3,1956,10,11,0,2.5,0,0,2,2,4,NA,NA,NA,NA,NA,1956,2,"145007_2",584,"A",0.312030040911257,-0.686127152021109,0.333258091961994
"113430",145007,3,2016,20,NA,4,3,1,27,1,5,2,NA,1,0,5,3,6,0,0,2,3,8,2,4,10,20,3,1989,2,8,0,2.5,1,1,2,2,4,NA,NA,NA,NA,NA,1989,5,"145007_5",585,"A",0.0683571727454465,-1.21127045992294,-0.665382330407731
