"","NQUEST","NORD","ANNO","IREG","IPROV","ACOM5","PAR","SESSO","ETA","ETA5","STUDIO","SETTP3","QUALP7","QUALP3","NONOC","AREA5","AREA3","SETTP7","CFDIC","CFEUR","QUALP7N","ACOM4C","SETTP9","STACIV","NORDP","NINTPRE","NASCREG","NASCAREA","ANASC","QUALP10","SETTP11","CFRED","NEQU","PERC","PERL","NPERC","NPERL","NCOMP","ENASC2","etapen","asnonoc","QUALP10N","ASNONOC2","ANASCI","NORDC","ID","localIndex","source","Y1","Y2","Y3"
"111646",111052,1,2020,20,NA,3,1,1,85,5,2,NA,NA,3,4,5,3,NA,1,1,7,3,NA,1,2,11,20,3,1935,NA,NA,0,2,1,0,2,0,3,NA,NA,NA,10,1,1935,1,"111052_1",316,"B",-10.5513524801891,-10.5298838799952,-10.5287539536692
"111647",111052,2,2020,20,NA,3,2,2,79,5,2,NA,NA,3,4,5,3,NA,0,0,7,3,NA,1,1,11,20,3,1941,NA,NA,1,2,1,0,2,0,3,NA,NA,NA,10,1,1941,2,"111052_2",317,"B",-19.2005620409179,-6.53953309539306,-5.87316315089176
"111648",111052,3,2020,20,NA,3,3,1,44,3,4,NA,NA,3,5,5,3,NA,0,0,7,3,NA,2,NA,11,20,3,1976,NA,NA,0,2,0,0,2,0,3,NA,NA,NA,10,1,1976,6,"111052_6",318,"B",2.35948545616561,-2.64351325757456,-2.66491648988689
"113433",145007,2,2020,20,NA,4,2,1,66,5,5,2,NA,2,0,5,3,6,0,1,5,3,7,1,1,11,20,3,1954,NA,7,1,2,1,1,1,1,3,NA,NA,NA,5,NA,1954,1,"145007_1",320,"B",-16.0297461351614,-4.04092895743048,-3.40993857965517
"113432",145007,1,2020,20,NA,4,1,2,64,4,5,NA,NA,3,2,5,3,NA,1,0,7,3,NA,1,2,11,20,3,1956,NA,NA,0,2,0,0,1,1,3,NA,NA,NA,10,NA,1956,2,"145007_2",319,"B",1.29106472813002,-5.04083901914786,-5.37409711110985
"113434",145007,3,2020,20,NA,4,3,1,29,1,5,NA,NA,3,6,5,3,NA,0,0,7,3,NA,2,4,11,20,3,1991,NA,NA,0,2,0,0,1,1,3,NA,NA,NA,10,NA,1991,6,"145007_6",321,"B",-21.5315910927952,-9.9324909918425,-9.32201203916078
"178",173,1,2020,18,NA,4,1,1,72,5,4,NA,NA,3,4,4,3,NA,1,1,7,3,NA,3,1,15,18,3,1948,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,2,1948,1,"173_1",1,"B",-22.2776654354365,-10.0188655932814,-9.37366560158907
"115082",178001,1,2020,12,NA,4,1,1,73,5,3,NA,NA,3,4,3,2,NA,1,1,7,3,NA,3,1,11,12,2,1947,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,1,1947,1,"178001_1",322,"B",-0.0180849757468824,-6.34301825667949,-6.67590948199173
"7885",20297,1,2020,5,NA,5,1,1,60,4,3,NA,NA,3,4,2,1,NA,1,1,7,3,NA,1,1,14,5,1,1960,NA,NA,1,1.5,1,0,2,1,2,NA,NA,NA,10,1,1960,1,"20297_1",13,"B",-0.584973319589195,-6.91806731120434,-7.25138804760514
"7886",20297,2,2020,5,NA,5,2,2,41,3,3,2,NA,1,0,2,1,3,0,0,1,3,4,1,2,14,NA,NA,1979,NA,4,0,1.5,1,1,2,1,2,2,NA,NA,1,NA,1979,4,"20297_4",14,"B",-1.9968577427645,-8.30883020986711,-8.64103928708304
"9169",20711,2,2020,4,NA,2,2,1,76,5,2,NA,NA,3,4,2,1,NA,0,1,7,1,NA,1,2,14,4,1,1944,NA,NA,1,1.5,1,0,1,0,2,NA,NA,NA,10,1,1944,1,"20711_1",16,"B",-15.9052657836596,-3.23905573958038,-2.57241310568147
"9168",20711,1,2020,4,NA,2,1,2,75,5,3,NA,NA,3,2,2,1,NA,1,0,7,1,NA,1,1,14,4,1,1945,NA,NA,0,1.5,0,0,1,0,2,NA,NA,NA,10,NA,1945,2,"20711_2",15,"B",5.50717665713602,-0.826051317139237,-1.15937910525899
"116805",213440,1,2020,7,NA,5,1,1,73,5,4,NA,NA,3,4,1,1,NA,1,1,7,4,NA,1,1,11,7,1,1947,NA,NA,1,1.5,1,0,1,0,2,NA,NA,NA,10,8,1947,1,"213440_1",323,"B",6.07770616556707,-0.255627165325067,-0.588960498529916
"116806",213440,2,2020,7,NA,5,2,2,73,5,3,NA,NA,3,2,1,1,NA,0,0,7,4,NA,1,2,11,18,3,1947,NA,NA,0,1.5,0,0,1,0,2,NA,NA,NA,10,NA,1947,2,"213440_2",324,"B",-11.6871629905752,-6.42216708021677,-6.14506203230317
"13535",22099,1,2020,15,NA,3,1,1,62,4,3,2,NA,2,0,4,3,6,1,1,6,2,8,1,1,14,15,3,1958,NA,8,1,1.5,1,1,1,1,2,NA,68,NA,6,NA,1958,1,"22099_1",17,"B",-1.05849303775183,-7.39170710326775,-7.72503415934753
"13536",22099,2,2020,15,NA,3,2,2,58,4,2,NA,NA,3,2,4,3,NA,0,0,7,2,NA,1,2,14,15,3,1962,NA,NA,0,1.5,0,0,1,1,2,NA,NA,NA,10,NA,1962,2,"22099_2",18,"B",-18.3750708552849,-5.70840697535201,-5.04174045535555
"13844",22169,1,2020,15,NA,5,1,2,76,5,2,NA,NA,3,4,4,3,NA,1,1,7,4,NA,4,1,14,15,3,1944,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,1,1944,2,"22169_2",19,"B",1.12498615490732,-5.17606467349975,-5.50769892762644
"13904",22173,2,2020,15,NA,5,4,1,82,5,2,NA,NA,3,4,4,3,NA,0,0,7,4,NA,4,1,14,15,3,1938,NA,NA,0,1.8,1,0,2,1,3,NA,NA,NA,10,NA,1938,1,"22173_1",21,"B",5.84895847622967,-0.484014889200985,-0.817329276855229
"13903",22173,1,2020,15,NA,5,1,2,45,3,4,2,NA,1,0,4,3,6,1,1,2,4,7,2,3,14,15,3,1975,NA,7,1,1.8,1,1,2,1,3,NA,65,NA,2,NA,1975,6,"22173_6",20,"B",2.31086385601192,-4.02246210178634,-4.35579504693362
"13905",22173,3,2020,15,NA,5,3,2,9,1,1,NA,NA,3,6,4,3,NA,0,0,7,4,NA,2,4,14,15,3,2011,NA,NA,0,1.8,0,0,2,1,3,NA,NA,NA,10,NA,2011,7,"22173_7",22,"B",-21.3802795607068,-8.7996359704219,-8.13749683409112
"14475",22276,1,2020,8,NA,1,1,1,71,5,4,NA,NA,3,4,2,1,NA,1,1,7,1,NA,2,1,14,8,1,1949,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,2,1949,3,"22276_3",23,"B",-15.1218300208777,-2.45526809676929,-1.78860694286885
"14627",22286,1,2020,8,NA,1,1,1,70,5,2,NA,NA,3,4,2,1,NA,1,1,7,1,NA,1,1,14,8,1,1950,NA,NA,1,1.5,1,0,2,0,2,NA,NA,NA,10,1,1950,1,"22286_1",24,"B",8.98128899383628,2.64795566050295,2.31462232716961
"14628",22286,2,2020,8,NA,1,2,2,64,4,2,NA,NA,3,4,2,1,NA,0,0,7,1,NA,1,2,14,8,1,1956,NA,NA,0,1.5,1,0,2,0,2,NA,NA,NA,10,1,1956,2,"22286_2",25,"B",7.64679234394294,1.31346750453254,0.980134618247787
"117649",224048,1,2020,7,NA,3,1,2,86,5,2,NA,NA,3,4,1,1,NA,1,1,7,3,NA,4,1,11,20,3,1934,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,1,1934,1,"224048_1",325,"B",-1.65031023712582,-5.38622720610404,-5.58285441499763
"16077",22624,2,2020,15,NA,4,2,1,63,4,2,2,NA,1,0,4,3,4,0,1,1,3,5,1,1,14,15,3,1957,NA,5,1,2.5,1,1,2,2,4,NA,NA,NA,1,NA,1957,1,"22624_1",27,"B",-4.851387241051,-5.96267839116133,-6.02116739906188
